issue_type,severity,show_to_customer,external_notification_ar,external_notification_en,display_channel
normal,low,0,الخدمة تعمل بشكل طبيعي حاليًا.,The service is operating normally at the moment.,none
high_latency,medium,1,يوجد بطء أو تأخير في الشبكة حاليًا، ونعمل على معالجة المشكلة.,"There is currently high latency in the network, and we are working on resolving it.",in_app
weak_signal,medium,1,جودة الإشارة ضعيفة في منطقتك حاليًا، وقد يؤثر ذلك على جودة الخدمة.,Signal quality is currently weak in your area and may affect service quality.,in_app
network_congestion,medium,1,هناك ضغط مرتفع على الشبكة حاليًا، وقد تلاحظ بطئًا مؤقتًا في الخدمة.,"There is currently heavy network congestion, which may cause temporary slow service.",in_app
packet_loss,medium,1,تم رصد مشكلة في استقرار الاتصال، وقد يؤثر ذلك على جودة المكالمات أو الإنترنت.,A connection stability issue has been detected and may affect call or internet quality.,in_app
service_degradation,high,1,تم رصد انخفاض في جودة الخدمة في منطقتك، ونعمل على حل المشكلة في أسرع وقت.,"A service degradation has been detected in your area, and we are working to resolve it as soon as possible.",push_and_in_app
outage,critical,1,يوجد انقطاع في الخدمة حاليًا في منطقتك، وجارٍ العمل على إصلاحه.,"There is currently a service outage in your area, and repairs are in progress.",push_and_in_app
maintenance,medium,1,توجد أعمال صيانة جارية قد تؤثر مؤقتًا على جودة الخدمة.,Ongoing maintenance work may temporarily affect service quality.,in_app
unstable_connection,high,1,تم رصد عدم استقرار في الاتصال، وقد تواجه تقطعًا أو بطئًا مؤقتًا.,An unstable connection has been detected and you may experience temporary interruptions or slowness.,push_and_in_app
prediction_alert,high,0,نراقب جودة الشبكة في منطقتك بشكل استباقي لتحسين استقرار الخدمة.,We are proactively monitoring network quality in your area to improve service stability.,none
