issue_type,severity,show_to_customer,external_notification_en,display_channel
normal,low,0,The service is operating normally at the moment.,none
high_latency,medium,1,"There is currently high latency in the network, and we are working on resolving it.",in_app
weak_signal,medium,1,Signal quality is currently weak in your area and may affect service quality.,in_app
network_congestion,medium,1,"There is currently heavy network congestion, which may cause temporary slow service.",in_app
packet_loss,medium,1,A connection stability issue has been detected and may affect call or internet quality.,in_app
service_degradation,high,1,"A service degradation has been detected in your area, and we are working to resolve it as soon as possible.",push_and_in_app
outage,critical,1,"There is currently a service outage in your area, and repairs are in progress.",push_and_in_app
maintenance,medium,1,Ongoing maintenance work may temporarily affect service quality.,in_app
unstable_connection,high,1,An unstable connection has been detected and you may experience temporary interruptions or slowness.,push_and_in_app
prediction_alert,high,0,We are proactively monitoring network quality in your area to improve service stability.,none
