issue_type,severity,internal_notification_en,suggested_action,priority,escalate_after_attempts
normal,low,No current network issue detected. No action is required.,no_action,0,0
high_latency,medium,High latency has been detected. Please check current network congestion.,check_latency_and_congestion,2,2
weak_signal,medium,Weak signal has been detected in one area. Please inspect coverage and signal quality.,check_signal_strength,2,2
network_congestion,medium,Network congestion has been detected. Please monitor load and redistribute resources.,check_network_load,2,2
packet_loss,medium,High packet loss has been detected. Please inspect connection stability and routing path.,check_packet_loss,2,2
service_degradation,high,Service degradation has been detected. Please inspect key QoS metrics and address the root cause.,check_qos_metrics,3,1
outage,critical,Alert: A possible or actual outage has been detected. Immediate action and a critical ticket are required.,open_critical_ticket,4,1
maintenance,medium,Maintenance activity may affect service quality. Please monitor execution and updates.,maintenance_followup,1,0
unstable_connection,high,"An unstable connection has been detected. Please review jitter, packet loss, and latency metrics.",check_jitter_packetloss_latency,3,1
prediction_alert,high,Proactive alert: The model predicts a possible upcoming network issue. Please take preventive action.,preventive_check,3,1
