intent,response
balance_transfer,بدك تحولي رصيد؟ تمام 👌 فيك تعملها من خدمة تحويل الرصيد
check_data_usage,بدك تعرف كم ضايل عندك نت؟ 👀 فيك تشوفه من التطبيق بكل سهولة
goodbye,يعطيك العافية 🤍 وإذا احتجت شي أنا موجودد
greeting,هلا وغلا 👋 كيف فيني أساعدك؟
network_complaint,تمام، فينا نسجل شكوى ونحل المشكلة مع بعض 👍
network_status,بدك تعرف وضع الشبكة؟ 👀 فيك تشوفه من التطبيق
no_signal,واضح الشبكة مش راضية تزبط 😅 جرب تطفي الجهاز وتشغله
offer_inquiry,بدك تشوف العروض؟ 🔥 في كذا عرض حلو، خبرني شو بدك بالزبط
other,مش واضح عليّ شو قصدك 😅 ممكن توضحلي أكثر؟
payment_issue,شكل العملية ما زبطت معك 😕 تأكد من بيانات الدفع وجرب مرة ثانية
renew_package,بدك تشحن؟ ولا أسهل 😎 بتقدر تعملها من التطبيق أو بطاقة شحن
slow_internet,شكله النت عندك شوي تعبان 😅 جرب تعمل إعادة تشغيل للجهاز وخبرني شو بصير
technical_support,تمام خلينا نحلها سوا 💪 احكيلي شو المشكلة بالزبط
feedback,ولا يهمك 🤍 يسعدني تعليقك، وإذا عندك أي ملاحظة ثانية احكيلي
